tempmax,temp,humidity,precip,precipprob,precipcover,snowdepth,windspeed,cloudcover,Class
30.4,25.6,43.1,0.0,4.8,0.0,0.0,18.7,47.8,0
28.6,23.0,34.8,0.0,0.0,0.0,0.0,11.2,99.7,0
25.8,17.6,37.6,0.0,4.8,0.0,0.0,11.5,0.0,0
28.1,22.5,62.6,0.0,9.5,0.0,0.0,11.2,39.3,0
29.0,23.2,68.0,0.0,9.5,0.0,0.0,16.9,28.1,0
28.29102698414221,27.216410793656884,72.8059025397404,8.78512444440181,48.429512698702,21.894325396444735,0.0924258289703316,18.35052920653497,65.66516634963878,1
27.4,21.2,35.5,0.0,14.3,0.0,0.0,16.9,16.6,0
26.4,20.5,46.8,0.0,0.0,0.0,0.0,9.4,59.5,0
30.86226956983331,26.56320724612037,86.69293551660643,23.017442745032454,96.99765580928234,88.81787108160975,0.0,24.752328235097366,93.01178477606949,1
30.1,23.8,43.1,0.0,4.8,0.0,0.0,11.9,51.5,0
28.8,23.1,61.1,0.0,0.0,0.0,0.0,12.2,0.0,0
29.5,22.9,44.2,0.0,0.0,0.0,0.0,12.2,41.3,0
32.6,25.4,51.6,0.0,14.3,0.0,0.0,13.7,15.8,0
26.0,17.7,22.7,0.0,0.0,0.0,0.0,16.2,0.0,0
27.3,20.0,25.4,0.0,4.8,0.0,0.0,16.9,0.5,0
30.0,24.6,41.6,0.0,4.8,0.0,0.0,8.3,61.6,0
26.7,26.0,64.5,0.0,4.8,0.0,0.0924258289703316,15.5,17.8,0
28.7,23.6,44.7,0.0,0.0,0.0,0.0,8.5,64.1,0
-2.1848675265353017,-3.9957538102078187,94.14354513469006,8.028783118366174,52.54685111430315,41.814029777770365,11.095012895926207,7.577856975514161,95.44742086734145,1
26.4,23.3,23.0,0.0,0.0,0.0,0.0,5.0,69.3,0
25.8,20.1,60.6,0.0,23.8,0.0,0.0,13.3,77.4,0
30.0,24.3,43.3,0.0,4.8,0.0,0.0,8.3,79.9,0
28.5,23.1,57.6,0.0,0.0,0.0,0.0,10.4,1.5,0
27.3,20.7,54.8,0.0,0.0,0.0,0.0,6.8,0.6,0
26.9,22.9,72.2,0.0,28.6,0.0,0.0,8.6,67.2,0
25.7,21.6,78.7,2.0,42.9,29.17,0.0,7.6,34.2,0
26.5,20.8,53.0,0.0,4.8,0.0,0.0,18.4,0.0,0
28.897641871493462,24.795283742986925,79.07434049158431,10.992925614480392,39.07504025447485,28.2927135790811,0.0,9.555755368688233,19.758253449772877,1
30.0,25.6,77.1,0.0,4.8,0.0,0.0,15.1,37.6,0
29.21335052558854,24.616387338075747,67.43748746018422,4.172983818219052,80.14052427267143,54.17,0.0,19.76418851136131,78.47968770440117,1
28.0,21.6,39.2,0.0,0.0,0.0,0.0,9.4,0.0,0
21.9,18.6,35.0,0.0,0.0,0.0,0.0,10.4,100.0,0
25.6,20.3,40.5,0.0,14.3,0.0,0.0,19.1,30.0,0
30.2,23.6,39.4,0.0,0.0,0.0,0.0,9.0,0.9,0
28.8,21.9,54.4,0.0,0.0,0.0,0.0,7.9,0.0,0
29.3,22.3,51.8,0.0,0.0,0.0,0.0,10.4,0.8,0
26.4,20.7,83.6,19.5,66.7,66.67,0.0,27.0,61.6,1
29.9,27.1,74.4,0.3,28.6,8.33,0.0924258289703316,16.2,54.2,0
26.5,21.0,49.6,0.0,23.8,0.0,0.0,13.0,55.8,0
23.5,20.1,31.9,0.0,4.8,0.0,0.0,9.0,99.3,0
30.0,26.7,67.3,0.0,14.3,0.0,0.0924258289703316,18.0,2.7,0
25.2,17.4,31.8,0.0,0.0,0.0,0.0,12.2,0.8,0
28.5,21.6,42.8,0.0,4.8,0.0,0.0,14.0,59.1,0
28.7,26.0,81.1,6.5,23.8,29.17,0.0924258289703316,11.5,11.3,0
33.3,27.6,39.1,0.0,0.0,0.0,0.0,17.6,16.1,0
29.0,23.8,75.1,0.0,33.3,0.0,0.0,14.0,65.3,0
32.0,26.4,46.9,0.0,0.0,0.0,0.0,22.7,1.3,0
27.0,23.3,58.7,0.0,9.5,0.0,0.0,11.6,46.4,0
28.1,20.4,76.7,0.0,0.0,0.0,0.0,10.4,22.4,0
26.7,22.6,81.2,34.3,100.0,29.17,0.0,25.2,36.4,1
-6.3,-11.8,53.6,0.0,61.9,0.0,20.4,18.0,18.0,0
27.0,21.1,41.4,0.0,23.8,0.0,0.0,13.7,80.3,0
24.2,18.2,83.9,2.4,42.9,12.5,0.0,8.3,60.8,0
26.4,25.4,70.7,0.0,0.0,0.0,0.0924258289703316,19.1,2.1,0
27.5,22.5,50.6,0.0,0.0,0.0,0.0,10.8,96.1,0
28.1,21.3,38.8,0.0,4.8,0.0,0.0,11.2,7.2,0
23.6,18.1,81.1,3.0,81.0,12.5,0.0,9.0,52.0,0
29.8,26.0,79.3,1.6,42.9,16.67,0.0,9.7,35.8,0
31.8,25.5,80.8,6.6,33.3,25.0,0.0,11.9,15.8,0
25.4,18.7,49.7,0.0,0.0,0.0,0.0,8.6,12.5,0
28.8,21.6,42.8,0.0,0.0,0.0,0.0,9.7,71.9,0
32.1,26.7,69.9,0.7,19.0,8.33,0.0,10.1,56.9,0
31.5,26.7,75.5,2.0,33.3,12.5,0.0,15.1,74.0,0
26.0,21.3,27.8,0.0,0.0,0.0,0.0,9.4,99.9,0
28.1,22.7,39.2,0.0,0.0,0.0,0.0,11.5,0.0,0
27.0,22.3,76.5,1.1,33.3,25.0,0.0,8.3,41.3,0
27.3,21.3,40.1,0.0,0.0,0.0,0.0,11.9,1.4,0
26.8,21.2,76.3,0.0,9.5,0.0,0.0,10.4,1.2,0
29.296803505848114,25.123322807242452,84.71661403621226,6.1361087838499975,86.81949474763773,55.140228781286034,0.0,14.31053683063491,75.87028420445377,1
29.1,26.0,71.5,0.0,9.5,0.0,0.0924258289703316,22.0,0.0,0
26.4,20.5,41.2,0.0,4.8,0.0,0.0,10.1,7.0,0
27.9,20.8,28.1,0.0,0.0,0.0,0.0,9.4,0.0,0
27.3,20.0,35.8,0.0,0.0,0.0,0.0,13.0,0.1,0
27.88313714900625,23.84941144701875,81.09411447018749,11.725485960250005,24.609416847699997,32.62850539866,0.0,8.881960043043751,17.196468682112503,1
27.4,22.7,79.4,0.8,90.5,12.5,0.0,17.3,94.7,0
29.822345954696456,26.464105420718802,74.17260582542995,6.80434296103925,100.0,54.17,0.0,23.48199700634279,79.86592427182126,1
25.8,20.1,29.9,0.0,14.3,0.0,0.0,14.4,0.5,0
29.877948898382968,25.49345067317689,81.65567778455926,9.204366217882072,31.524674234971414,44.72677784559263,0.0,14.244322215440738,80.38013200732401,1
32.2,26.9,64.1,0.0,28.6,0.0,0.0,13.0,63.1,0
29.6,24.8,63.5,0.1,19.0,4.17,0.0,10.4,58.0,0
30.8,24.5,61.7,0.0,0.0,0.0,0.0,13.7,7.3,0
28.2,22.5,40.4,0.0,0.0,0.0,0.0,11.2,0.0,0
25.7,19.9,81.3,0.3,76.2,8.33,0.0,13.7,69.8,0
26.6,19.5,40.5,0.0,0.0,0.0,0.0,8.3,43.6,0
30.1,25.4,61.6,0.0,0.0,0.0,0.0,11.9,53.7,0
27.1,21.0,44.1,0.0,9.5,0.0,0.0,10.1,31.5,0
28.6,22.6,65.0,0.0,4.8,0.0,0.0,9.7,8.5,0
32.5,26.1,85.4,9.1,57.1,41.67,0.0,11.9,79.6,1
29.7,24.8,62.5,0.0,23.8,0.0,0.0,10.1,42.5,0
30.5,25.5,59.2,0.0,9.5,0.0,0.0,20.9,44.8,0
